id,photo_url,thumb_url
58,https://pe.tedcdn.com/images/ted/1467_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/d7535060-9ca9-467f-b5be-5479d264febb/LarryBrilliant_2006-embed.jpg?quality=89&w=600
59,https://pe.tedcdn.com/images/ted/1300_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/324e64c6f3cd4f18c8c4f00757760943066e3cb2_2880x1620.jpg?quality=89&w=600
60,https://pe.tedcdn.com/images/ted/1fedcb774749e64ae621544688d8d2116a0e2f93_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/deb98881-4d4b-433b-8aa6-849f4b611620/AnnaDeveareSmith_2005-embed.jpg?quality=89&w=600
61,https://pe.tedcdn.com/images/ted/e36791bf19e3779954c27c9c14c1fd22bd44a5e5_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/383_480x360.jpg?quality=89&w=600
62,https://pe.tedcdn.com/images/ted/1302_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/173_480x360.jpg?quality=89&w=600
63,https://pe.tedcdn.com/images/ted/40_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/137_480x360.jpg?quality=89&w=600
64,https://pe.tedcdn.com/images/ted/92637df5bef7ff965a873d7612f65700f73e1861_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/cdc7835d-a4b0-4c00-8442-02bb3ad59cbc/EveEnsler_2004-embed.jpg?quality=89&w=600
65,https://pe.tedcdn.com/images/ted/1613_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/2c78c5f87d19f51a0ff4d3e655cb815360bf8063_1600x1200.jpg?quality=89&w=600
66,https://pe.tedcdn.com/images/ted/1465_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/6b6eb940bceab359ca676a9b486aae475c1df883_2880x1620.jpg?quality=89&w=600
67,https://pe.tedcdn.com/images/ted/1298_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/159_480x360.jpg?quality=89&w=600
68,https://pe.tedcdn.com/images/ted/1299_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/714735a4fcc8eccc6c86beba28fdee415e02628f_2880x1620.jpg?quality=89&w=600
69,https://pe.tedcdn.com/images/ted/cb56a4c3606a6fb2acc9a03944eb2be1503b74dc_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/8bdfb6113efedf37e72cd88aa1dcf8103bcbf4e0_800x600.jpg?quality=89&w=600
70,https://pe.tedcdn.com/images/ted/1363_253x190.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/9103c5fc-7341-4098-83f2-9549b7b900b8/RichardStJohn_2005-embed.jpg?quality=89&w=600
71,https://pe.tedcdn.com/images/ted/1368_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/229_480x360.jpg?quality=89&w=600
