id,est_gender,est_age
1157,male,56
1158,male,35
1159,male,38
1160,male,31
1161,female,28
1162,male,38
1163,male,69
1164,female,43
1165,male,55
1166,female,36
1167,male,46
1168,male,36
1169,male,37
1170,male,37
1171,female,41
1172,male,41
1173,female,31
1174,male,45
1175,male,40
1176,male,55
1177,female,35
1178,male,30
1180,male,36
1181,male,66
1182,male,36
1183,male,38
1184,male,54
1185,male,38
1186,male,54
1187,female,30
1188,female,40
1189,male,39
1190,male,35
1191,female,29
1192,male,39
1193,female,35
1194,male,35
1195,male,44
1196,male,35
1197,male,62
1198,male,42
1199,female,47
1200,male,45
1201,male,32
1202,male,36
1203,male,51
1204,female,42
1205,female,43
1206,male,49
1207,male,40
1208,female,48
1209,male,40
1210,female,30
1211,male,37
1212,male,43
1213,male,51
1214,female,30
1215,male,32
1216,female,64
1217,male,53
1218,male,37
1219,male,26
1220,male,39
1221,male,42
1222,female,33
1223,male,42
1224,female,40
1225,male,34
1226,male,45
1227,male,30
1228,female,35
1229,female,31
1230,female,31
1231,male,45
1232,male,42
1233,male,36
1234,male,35
1235,female,29
1236,female,30
1237,male,44
1238,male,35
1239,male,52
1240,male,44
1241,female,46
1242,male,33
1243,male,56
1244,male,51
1245,male,34
1246,female,46
1247,female,25
1248,male,61
1249,male,47
1250,male,34
1251,male,54
1252,female,57
1253,male,60
1255,male,47
1256,male,40
1257,female,48
1258,male,38
1259,male,40
1260,female,32
1261,male,50
1262,male,37
1263,female,35
1264,male,36
1265,female,30
1266,male,71
1267,male,44
1268,male,52
1269,male,37
1270,male,50
1271,male,49
1272,male,9
1274,female,42
1276,male,49
1278,male,38
1279,female,26
1280,male,40
1281,male,26
1282,male,35
1283,male,57
1284,female,27
1285,female,28
1286,male,35
1287,female,31
1288,female,37
1289,female,35
1290,male,34
1291,male,27
1292,female,36
1293,female,21
1294,male,40
1295,male,28
1296,female,26
1297,male,57
1298,male,29
1299,male,29
1300,male,29
1301,female,45
1302,female,37
1303,male,48
1304,male,36
1305,female,40
1306,male,47
1307,male,55
1308,male,61
1309,female,39
1310,male,38
1311,male,64
1312,male,34
1313,female,46
1314,male,59
1315,male,44
1316,male,50
1317,female,28
1318,male,45
1320,female,21
1321,male,51
1322,male,54
1323,female,29
1324,male,37
1326,male,35
1327,male,36
1328,male,35
1329,male,39
1330,female,31
1331,male,43
1332,male,42
1334,male,44
1335,female,29
1336,female,48
1337,male,52
1338,female,26
1339,female,31
1340,male,32
1341,male,41
1342,male,58
1343,male,48
1344,male,35
1345,female,30
1346,male,50
1347,female,37
1348,male,36
1349,male,41
1350,male,43
1351,female,30
1352,male,70
1353,male,31
1354,male,28
1355,male,44
1356,male,37
1357,female,36
1358,female,31
1359,male,56
1360,male,41
1361,male,46
1362,male,47
1363,female,32
1364,male,51
1365,male,51
1366,female,23
1367,male,39
1368,female,30
1369,male,57
1370,male,39
1371,male,27
1372,male,54
1373,male,58
1374,male,45
1375,male,48
1376,male,45
1377,female,38
1378,male,35
1379,male,47
1380,male,60
1381,female,32
1382,male,26
1383,female,28
1384,male,50
1385,male,34
1386,male,54
1387,male,49
1388,male,58
1389,male,45
1390,male,50
1391,female,44
1392,male,34
1393,male,52
1394,male,70
1396,female,47
1397,male,21
1398,male,59
1399,male,55
1400,male,35
1401,male,55
1402,female,42
1403,female,36
1404,female,27
1405,male,40
1406,male,32
1407,male,41
1408,female,38
1409,female,37
1410,male,54
1411,male,39
1412,male,43
1413,female,28
1415,male,30
1416,male,37
1417,male,64
1418,female,42
