id,est_gender,est_age
3977,,0
3978,male,31
3979,,0
3980,,0
3981,male,40
3982,male,46
3983,male,8
3984,,0
3985,female,33
3986,female,45
3987,male,67
3988,female,35
3989,male,44
3990,female,30
3991,female,37
3992,female,26
3993,male,24
3994,male,33
3995,male,65
3996,,0
3997,,0
3998,,0
3999,male,40
4000,,0
4001,male,38
4002,,0
4003,female,28
4004,male,56
4005,female,45
4006,male,39
4007,female,42
4008,female,29
4009,,0
4010,,0
4011,male,53
4013,female,49
4014,female,38
4015,,0
4016,male,49
4017,male,56
4018,female,37
4019,male,54
4020,male,57
4022,female,30
4023,female,16
4024,female,33
4028,female,31
4029,male,42
4031,male,39
4032,,0
4033,male,40
4034,female,29
4035,female,27
4036,male,54
4037,male,26
4039,female,33
4040,,0
4041,,0
4042,male,17
4043,male,44
4044,male,31
4045,male,39
4046,female,49
4047,male,46
4048,male,30
4049,male,61
4050,male,32
4051,,0
4052,,0
4053,,0
4054,male,58
4056,female,27
4057,male,58
4058,,0
4059,male,42
4060,male,38
4061,male,30
4063,,0
4064,male,40
4065,male,13
4066,,0
4067,female,47
4068,,0
4069,female,23
4070,,0
4071,male,32
4072,female,24
4073,male,41
4074,female,27
4075,male,52
4076,male,44
4077,male,51
4078,male,59
4079,,0
4081,,0
4082,female,47
4083,,0
4086,male,46
4087,male,33
4088,male,30
4089,male,46
4090,male,40
4091,,0
4093,,0
4094,,0
4095,female,44
4096,female,41
4098,male,24
4099,female,54
4100,male,52
4101,female,43
4102,male,50
4103,male,31
4104,female,44
4105,male,35
4106,female,48
4107,female,23
4108,female,33
4109,male,30
4110,male,30
4111,female,35
4112,male,45
4113,male,70
4114,female,25
4115,female,24
4116,male,50
4117,male,31
4118,male,45
4119,male,62
4120,male,39
4121,female,44
4122,male,56
4123,female,27
4124,female,34
4125,,0
4126,,0
4127,male,64
4128,female,33
4129,female,26
4130,,0
4131,female,23
4132,,0
4133,male,27
4134,male,56
4135,male,62
4136,male,30
4137,,0
4138,male,26
4139,female,21
4140,female,22
4141,,0
4142,,0
4143,male,26
4144,female,43
4145,male,32
4146,,0
4147,female,38
4148,female,43
4149,female,41
4150,female,35
4151,male,44
4152,female,39
4153,female,29
4154,male,43
4155,male,35
4156,male,26
4157,male,41
4158,female,35
4159,male,33
4160,male,35
4161,,0
4162,male,38
4163,,0
4164,,0
4165,female,27
4166,female,28
4167,female,28
4168,female,22
4170,,0
4171,,0
4172,male,39
4173,female,47
4174,female,44
4175,female,30
4176,male,52
4177,male,56
4178,female,38
4179,male,50
4180,female,34
4181,female,35
4182,male,32
4183,male,41
4184,female,29
4185,male,32
4186,female,35
4187,male,54
4188,male,37
4189,male,24
4190,male,28
4191,female,26
4192,female,49
4194,,0
4195,female,23
4196,male,36
4197,female,41
4198,female,37
4199,male,45
4200,male,48
4201,male,26
4202,female,38
4203,male,52
4204,,0
4205,,0
4206,female,30
4207,male,30
4208,male,35
4209,male,37
4210,,0
4211,female,28
4212,female,62
4213,,0
4214,male,23
4215,female,37
4217,male,31
4218,male,67
4219,female,35
4220,male,34
4222,male,35
4223,male,59
4224,female,44
4225,male,57
4228,,0
4229,,0
4230,male,37
4232,male,38
4233,female,30
4234,female,30
4235,male,31
4236,male,37
4239,,0
4240,male,32
4242,,0
4243,male,33
4244,male,38
4245,,0
4246,male,41
4247,,0
4248,female,20
4249,female,27
4250,,0
4251,female,27
4252,,0
4253,male,40
4254,male,56
4255,,0
4256,male,56
4257,,0
4258,,0
4259,,0
4260,,0
4261,,0
4262,male,30
4263,male,33
4265,male,23
4266,female,33
4267,female,31
4268,female,48
4269,male,31
4270,male,61
4271,female,34
4273,male,37
4275,,0
4276,,0
4277,male,29
4278,male,36
4279,female,32
4280,male,43
4281,,0
4282,,0
4283,male,27
4284,male,52
4285,female,49
4286,female,28
4287,male,61
4288,male,37
4289,female,33
4290,female,29
4291,male,40
4292,,0
4293,male,50
4294,male,21
4295,,0
4296,male,35
4297,male,42
4299,female,41
4300,male,35
4301,,0
4302,male,47
4303,,0
4304,,0
4305,male,37
4306,,0
4307,female,33
4309,,0
4310,female,19
4311,,0
4312,female,11
4313,,0
4314,male,33
4315,male,39
4316,male,38
4317,female,34
4318,,0
4319,,0
4320,,0
4321,male,63
4322,female,26
4323,,0
4324,,0
4325,,0
4326,female,24
4327,male,32
4328,female,28
4329,,0
4330,,0
4331,female,47
4333,male,33
4334,male,25
4335,male,31
4336,male,38
4337,,0
4338,male,40
4339,male,45
4340,female,26
4341,male,44
4342,female,49
4343,female,29
4344,,0
4345,,0
4346,female,19
4347,female,40
4348,male,27
4349,,0
4350,female,37
4351,female,38
4352,female,36
4353,,0
4354,male,52
4355,male,45
4356,female,23
4357,female,45
4358,male,37
4359,female,25
4360,,0
4361,,0
4362,male,36
4363,male,52
4364,,0
4365,male,29
4367,female,26
4369,male,52
4370,female,36
4371,male,40
4372,male,71
4373,female,30
4374,female,26
4375,female,27
4376,female,31
4377,male,35
4378,male,37
4379,female,44
4380,,0
4381,male,27
4382,female,26
4383,,0
4384,male,39
4386,female,29
4388,female,42
4390,female,41
4391,female,26
4392,female,52
4393,male,56
4394,female,18
4395,male,29
4396,male,29
4397,female,56
4398,male,40
4399,male,57
4400,female,33
4401,female,40
4402,female,28
4403,female,28
4404,female,25
4405,male,47
4407,female,29
4409,,0
4410,female,22
4411,male,27
4412,female,24
4415,male,15
4418,,0
4420,female,44
4421,male,18
4422,male,26
4423,female,35
4424,male,36
4425,male,41
4426,male,61
4427,male,42
4428,male,37
4429,female,34
4430,female,33
4431,male,27
4432,male,52
4433,male,62
4434,,0
4435,male,31
4436,female,24
4437,male,26
4438,male,33
4439,female,27
4440,male,70
4441,female,28
4442,male,28
4443,male,40
4444,male,29
4445,female,59
4446,male,35
4447,,0
4448,female,38
4449,male,28
